title,original_language,release_year,release_month,runtime,genre,averageRating,budget,revenue,agg_profit,norm_revenue
Venus,es,2022,12,\N,\N,5.9,6000000.0,7818479.0,1818479.0,7818479.0
The Menu,en,2022,11,90,"Crime,Drama",6.2,30000000.0,75820378.0,45820378.0,75820378.0
Terror Train,en,2022,10,97,"Horror,Mystery,Thriller",5.8,3500000.0,8000000.0,4500000.0,8000000.0
Halloween Ends,en,2022,10,111,"Drama,Horror,Mystery",5.0,20000000.0,105400796.0,85400796.0,105400796.0
The Visitor,en,2022,10,108,"Horror,Sci-Fi",5.2,4000000.0,19174817.0,15174817.0,19174817.0
Alone in the Dark,en,2022,10,102,Drama,6.8,20000000.0,10588079.0,-9411921.0,10588079.0
Terrifier 2,en,2022,10,138,Horror,6.1,250000.0,15702292.0,15452292.0,15702292.0
Snatched,en,2022,10,81,Comedy,4.3,42000000.0,60129558.0,18129558.0,60129558.0
The Hunted,en,2022,10,88,"Crime,Drama,Film-Noir",6.5,55000000.0,47213095.0,-7786905.0,47213095.0
Hellraiser,en,2022,9,94,"Horror,Thriller",6.9,1000000.0,14575148.0,13575148.0,14575148.0
Smile,en,2022,9,113,Comedy,7.1,17000000.0,217038821.0,200038821.0,217038821.0
Jack Frost,en,2022,9,101,"Comedy,Drama,Family",5.4,50000000.0,34645374.0,-15354626.0,34645374.0
Barbarian,en,2022,9,102,"Horror,Mystery,Thriller",7.0,4500000.0,45352337.0,40852337.0,45352337.0
Instinct,en,2022,9,92,"Drama,Thriller",6.4,55000000.0,34105207.0,-20894793.0,34105207.0
Rings,en,2022,9,88,"Comedy,Drama,Horror",4.6,25000000.0,82917283.0,57917283.0,82917283.0
The Box,es,2022,9,100,Comedy,6.9,25000000.0,34356760.0,9356760.0,34356760.0
The Missing,en,2022,8,92,"Crime,Mystery,Thriller",5.1,65000000.0,38253433.0,-26746567.0,38253433.0
The Lair,en,2022,8,76,"Crime,Drama",4.8,5800000.0,66980.0,-5733020.0,66980.0
The Invitation,en,2022,8,100,"Comedy,Drama",7.1,1000000.0,354836.0,-645164.0,354836.0
Three Kings,en,2022,8,114,"Action,Adventure,Comedy",7.1,48000000.0,107752036.0,59752036.0,107752036.0
Beast,en,2022,8,155,"Action,Comedy,Crime",5.2,36000000.0,59168339.0,23168339.0,59168339.0
Skinamarink,en,2022,7,100,"Horror,Mystery",4.8,15000.0,2131183.0,2116183.0,2131183.0
Nope,en,2022,7,130,"Horror,Mystery,Sci-Fi",6.8,68000000.0,172039087.0,104039087.0,172039087.0
The Shack,en,2022,6,132,"Drama,Fantasy",6.3,20000000.0,96860808.0,76860808.0,96860808.0
Mad God,en,2022,6,83,"Animation,Fantasy,Horror",6.8,150000.0,329009.0,179009.0,329009.0
The Eye,en,2022,6,114,"Drama,Thriller",5.5,12000000.0,57577765.0,45577765.0,57577765.0
The Overnight,en,2022,6,88,\N,7.5,200000.0,1165996.0,965996.0,1165996.0
The Apartment,en,2022,5,125,"Comedy,Drama,Romance",8.3,3000000.0,24599998.0,21599998.0,24599998.0
Monster,zh,2022,5,109,"Biography,Crime,Drama",7.3,5000000.0,64200321.0,59200321.0,64200321.0
Glass,en,2022,5,93,Thriller,2.8,20000000.0,246999039.0,226999039.0,246999039.0
Firestarter,en,2022,5,114,"Action,Horror,Sci-Fi",6.1,15000000.0,15136870.0,136870.0,15136870.0
Envy,de,2022,4,99,Comedy,4.8,20000000.0,14566246.0,-5433754.0,14566246.0
The Hunt,es,2022,4,91,"Drama,Thriller",7.5,18200000.0,12400979.0,-5799021.0,12400979.0
Remember Me,en,2022,4,100,Drama,6.3,16000000.0,56506120.0,40506120.0,56506120.0
